index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.faz.net/aktuell/politik/ausland/israel-laesst-kampfflugzeuge-nach-versehentlich-abgesetztem-entfuehrungscode-starten-accg-200986020.html,https://www.faz.net/aktuell/politik/ausland/israel-laesst-kampfflugzeuge-nach-versehentlich-abgesetztem-entfuehrungscode-starten-accg-200986020.html,0,www.faz.net,Panne bei Linienflug: Israel lässt Kampfflugzeuge nach versehentlich abgesetztem Entführungscode starten,Ein Airbus auf dem Weg nach Tel Aviv meldet einen Notfall. Das israelische Militär reagiert sofort – kurz darauf stellt sich das Ganze als Fehlalarm heraus.,https://media0.faz.net/image/w1200h627/004afb3585b2/w4853h2535x0y347o/202605/43601.0.2042506935/ein-f-35-kampfflugzeug-der.webp,2026-07-01T05:38:27Z,,Wegen eines irrtümlich von einem Passagierflugzeug versendetem Entführungsnotrufs hat das israelische Militär zwei Kampfflugzeuge über dem Mittelmeer aufsteigen lassen. Nach Angaben der polnischen Fl… [+1220 chars],,de,'Israel'
https://www.faz.net/aktuell/politik/ausland/liveblog-irankrieg-usa-und-iran-einigen-sich-auf-kommunikationskanal-faz-200583539.html,https://www.faz.net/aktuell/politik/ausland/liveblog-irankrieg-usa-und-iran-einigen-sich-auf-kommunikationskanal-faz-200583539.html,0,www.faz.net,Liveblog Irankrieg: USA und Iran einigen sich auf „Kommunikationskanal“,So sollen Verstöße gegen das Rahmenabkommen gemeldet werden können +++ Trump spricht von „sehr guten Treffen“ mit Iran +++ Araghchi droht Israel: Werden ihnen Lektion erteilen +++ alle Entwicklungen im Liveblog,https://media0.faz.net/image/w1200h627/10932ce1e8aa/w5000h2612x0y360o/202602/43601.0.1825236460/der-stellvertretende-iranische.webp,2026-07-01T20:22:51Z,http://web.archive.org/web/20260701221108/https://www.faz.net/aktuell/politik/ausland/liveblog-irankrieg-usa-und-iran-einigen-sich-auf-kommunikationskanal-faz-200583539.html,"Vertreter der USA und des Irans werden sich nach Angaben von US-Präsident Donald Trump an diesem Dienstag in Qatars Hauptstadt Doha treffen. Iran hat um ein Treffen gebeten, schrieb er auf seiner Pla… [+1143 chars]",,de,'Israel'
https://www.faz.net/aktuell/sport/fussball-wm/fussball-wm-2026-wie-portugal-um-diogo-jota-trauert-accg-200990190.html,https://www.faz.net/aktuell/sport/fussball-wm/fussball-wm-2026-wie-portugal-um-diogo-jota-trauert-accg-200990190.html,0,www.faz.net,Portugal nach Diogo Jota: Der Tod eines Freundes,Vor einem Jahr schockte Diogo Jotas Unfalltod die Fußballwelt. Während der WM spielt die Selecção für ihren früheren Mannschaftskollegen – aber was bedeutet das Festhalten an Ronaldo für Jotas Spielergeneration?,https://media0.faz.net/image/w1200h627/2ad3fc728c1a/w6144h3210x0y443o/202607/43601.0.2291873200/cristiano-ronaldo-hielt-nach.webp,2026-07-03T04:43:17Z,,"Als Diogo Jota am 3. Juli 2025 um 0 Uhr 30 auf einer spanischen Autobahn verunglückte, starb er wie einer von unzähligen portugiesischen Arbeitsmigranten vor ihm. Nach einem Sommerurlaub in der Heima… [+7303 chars]",,de,'Portugal'
